58,7
90,89
18,8
2,45
12,34
89,74
58,47
59,81
31,59
93,80
52,63
4,6
87,46
24,75
32,49
73,57
70,36
60,37
41,21
4,93
58,25
31,29
52,53
22,47
100,88
30,62
43,24
33,40
88,46
36,86
82,4
79,8
33,63
30,6
18,33
82,19
6,46
10,52
5,12
96,94
61,72
58,75
8,19
12,83
12,36
8,47
20,67
86,74
69,48
10,71
39,9
87,10
7,13
63,88
93,79
51,20
99,7
70,43
58,63
26,51
21,70
89,63
44,23
86,2
9,66
55,7
15,37
78,88
73,40
63,28
5,78
97,91
53,92
94,56
34,92
28,51
56,68
87,15
22,92
99,93
16,58
80,50
9,78
50,37
3,44
17,99
71,81
89,90
24,25
36,27
83,4
74,94
58,50
33,67
57,11
41,68
80,32
39,26
29,31
85,72
43,23
60,51
27,95
86,82
88,96
39,52
73,65
12,9
28,42
47,42
74,1
68,34
43,50
84,80
49,71
91,73
49,88
44,37
93,4
84,52
6,53
44,18
24,8
27,90
85,49
33,40
91,31
70,10
37,3
32,89
1,72
57,54
36,61
64,80
51,47
85,44
100,52
57,73
10,28
74,8
79,17
14,39
53,11
30,95
9,70
48,5
83,65
5,30
71,45
33,91
52,33
14,7
14,54
44,67
29,36
47,64
4,49
79,63
50,67
29,78
96,19
39,18
90,88
10,10
18,38
31,35
76,53
1,36
87,47
76,39
100,10
35,2
88,42
66,83
53,52
39,50
2,91
22,64
36,1
69,13
35,24
71,98
1,42
83,69
68,29
69,47
51,93
25,41
23,15
85,73
50,70
89,16
17,77
57,41
45,68
18,99
30,15
28,15
38,94
96,27
